id,code,city_id/id,name
state_city.res_state_kecamatan197,res_state_kecamatan197,state_city.res_state_city14,Jeumpa
state_city.res_state_kecamatan198,res_state_kecamatan198,state_city.res_state_city14,Jeunieb
state_city.res_state_kecamatan199,res_state_kecamatan199,state_city.res_state_city14,Juli
state_city.res_state_kecamatan200,res_state_kecamatan200,state_city.res_state_city14,Kota Juang
state_city.res_state_kecamatan201,res_state_kecamatan201,state_city.res_state_city14,Kuala
state_city.res_state_kecamatan202,res_state_kecamatan202,state_city.res_state_city14,Kuta Blang
state_city.res_state_kecamatan203,res_state_kecamatan203,state_city.res_state_city14,Makmur
state_city.res_state_kecamatan204,res_state_kecamatan204,state_city.res_state_city14,Pandrah
state_city.res_state_kecamatan205,res_state_kecamatan205,state_city.res_state_city14,Peudada
state_city.res_state_kecamatan206,res_state_kecamatan206,state_city.res_state_city14,Peulimbang (Plimbang)
state_city.res_state_kecamatan207,res_state_kecamatan207,state_city.res_state_city14,Peusangan
state_city.res_state_kecamatan208,res_state_kecamatan208,state_city.res_state_city14,Peusangan Selatan
state_city.res_state_kecamatan209,res_state_kecamatan209,state_city.res_state_city14,Peusangan Siblah Krueng
state_city.res_state_kecamatan210,res_state_kecamatan210,state_city.res_state_city14,Samalanga
state_city.res_state_kecamatan211,res_state_kecamatan211,state_city.res_state_city14,Simpang Mamplam
state_city.res_state_kecamatan212,res_state_kecamatan212,state_city.res_state_city15,Blang Jerango
state_city.res_state_kecamatan213,res_state_kecamatan213,state_city.res_state_city16,Banda Sakti
state_city.res_state_kecamatan214,res_state_kecamatan214,state_city.res_state_city16,Blang Mangat
state_city.res_state_kecamatan215,res_state_kecamatan215,state_city.res_state_city16,Muara Dua
state_city.res_state_kecamatan216,res_state_kecamatan216,state_city.res_state_city16,Muara Satu
state_city.res_state_kecamatan217,res_state_kecamatan217,state_city.res_state_city17,Beutong
state_city.res_state_kecamatan218,res_state_kecamatan218,state_city.res_state_city17,Beutong Ateuh Banggalang
state_city.res_state_kecamatan219,res_state_kecamatan219,state_city.res_state_city17,Darul Makmur
state_city.res_state_kecamatan220,res_state_kecamatan220,state_city.res_state_city17,Kuala
state_city.res_state_kecamatan221,res_state_kecamatan221,state_city.res_state_city17,Kuala Pesisir
state_city.res_state_kecamatan222,res_state_kecamatan222,state_city.res_state_city17,Seunagan
state_city.res_state_kecamatan223,res_state_kecamatan223,state_city.res_state_city17,Seunagan Timur
state_city.res_state_kecamatan224,res_state_kecamatan224,state_city.res_state_city17,Suka Makmue
state_city.res_state_kecamatan225,res_state_kecamatan225,state_city.res_state_city17,Tadu Raya
state_city.res_state_kecamatan226,res_state_kecamatan226,state_city.res_state_city17,Tripa Makmur
state_city.res_state_kecamatan227,res_state_kecamatan227,state_city.res_state_city18,Batee
state_city.res_state_kecamatan228,res_state_kecamatan228,state_city.res_state_city18,Delima
state_city.res_state_kecamatan229,res_state_kecamatan229,state_city.res_state_city18,Geumpang
state_city.res_state_kecamatan230,res_state_kecamatan230,state_city.res_state_city18,Glumpang Baro
state_city.res_state_kecamatan231,res_state_kecamatan231,state_city.res_state_city18,Glumpang Tiga (Geulumpang Tiga)
state_city.res_state_kecamatan232,res_state_kecamatan232,state_city.res_state_city18,Grong Grong
state_city.res_state_kecamatan233,res_state_kecamatan233,state_city.res_state_city18,Indrajaya
state_city.res_state_kecamatan234,res_state_kecamatan234,state_city.res_state_city18,Kembang Tanjong
state_city.res_state_kecamatan235,res_state_kecamatan235,state_city.res_state_city18,Keumala
state_city.res_state_kecamatan236,res_state_kecamatan236,state_city.res_state_city18,Kota Sigli
state_city.res_state_kecamatan237,res_state_kecamatan237,state_city.res_state_city18,Mane
state_city.res_state_kecamatan238,res_state_kecamatan238,state_city.res_state_city18,Mila
state_city.res_state_kecamatan239,res_state_kecamatan239,state_city.res_state_city18,Muara Tiga
state_city.res_state_kecamatan240,res_state_kecamatan240,state_city.res_state_city18,Mutiara
state_city.res_state_kecamatan241,res_state_kecamatan241,state_city.res_state_city18,Mutiara Timur
state_city.res_state_kecamatan242,res_state_kecamatan242,state_city.res_state_city18,Padang Tiji
state_city.res_state_kecamatan243,res_state_kecamatan243,state_city.res_state_city18,Peukan Baro
state_city.res_state_kecamatan244,res_state_kecamatan244,state_city.res_state_city18,Pidie
state_city.res_state_kecamatan245,res_state_kecamatan245,state_city.res_state_city18,Sakti
state_city.res_state_kecamatan246,res_state_kecamatan246,state_city.res_state_city18,Simpang Tiga
state_city.res_state_kecamatan247,res_state_kecamatan247,state_city.res_state_city18,Tangse
state_city.res_state_kecamatan248,res_state_kecamatan248,state_city.res_state_city18,Tiro/Truseb
state_city.res_state_kecamatan249,res_state_kecamatan249,state_city.res_state_city18,Titeue
state_city.res_state_kecamatan250,res_state_kecamatan250,state_city.res_state_city19,Bandar Baru
state_city.res_state_kecamatan251,res_state_kecamatan251,state_city.res_state_city19,Bandar Dua
state_city.res_state_kecamatan252,res_state_kecamatan252,state_city.res_state_city19,Jangka Buya
state_city.res_state_kecamatan253,res_state_kecamatan253,state_city.res_state_city19,Meurah Dua
state_city.res_state_kecamatan254,res_state_kecamatan254,state_city.res_state_city19,Meureudu
state_city.res_state_kecamatan255,res_state_kecamatan255,state_city.res_state_city19,Panteraja
state_city.res_state_kecamatan256,res_state_kecamatan256,state_city.res_state_city19,Trienggadeng
state_city.res_state_kecamatan257,res_state_kecamatan257,state_city.res_state_city19,Ulim
state_city.res_state_kecamatan258,res_state_kecamatan258,state_city.res_state_city20,Sukajaya
state_city.res_state_kecamatan259,res_state_kecamatan259,state_city.res_state_city20,Sukakarya
state_city.res_state_kecamatan260,res_state_kecamatan260,state_city.res_state_city21,Alapan (Alafan)
state_city.res_state_kecamatan261,res_state_kecamatan261,state_city.res_state_city21,Salang
state_city.res_state_kecamatan262,res_state_kecamatan262,state_city.res_state_city21,Simeuleu Barat
state_city.res_state_kecamatan263,res_state_kecamatan263,state_city.res_state_city21,Simeuleu Tengah
state_city.res_state_kecamatan264,res_state_kecamatan264,state_city.res_state_city21,Simeuleu Timur
